section,config,scenario,metric_or_test,value,n,manifest_hash,mixed_manifest,test,test_id,alpha_corrected,p_value,status,fsm_source_partition,underpowered,exploratory
metrics,f,s1,detection_rate,0.250000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s1,mttd_median,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s1,mttd_mean,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s2,detection_rate,0.250000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s2,mttd_median,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s2,mttd_mean,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s3,detection_rate,0.250000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s3,mttd_median,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s3,mttd_mean,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s4,detection_rate,0.250000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s4,mttd_median,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s4,mttd_mean,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s5,detection_rate,0.250000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s5,mttd_median,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,f,s5,mttd_mean,40.000000,1,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=1;detection_signal_only=0;none=3,True,False
metrics,rs,s1,detection_rate,0.500000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s1,mttd_median,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s1,mttd_mean,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s2,detection_rate,0.500000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s2,mttd_median,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s2,mttd_mean,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s3,detection_rate,0.500000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s3,mttd_median,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s3,mttd_mean,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s4,detection_rate,0.500000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s4,mttd_median,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s4,mttd_mean,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s5,detection_rate,0.500000,4,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
metrics,rs,s5,mttd_median,30.000000,2,fixture0000000000000000000000000000000000000000000000000000000000,False,descriptive,,n/a,n/a,run,observed=2;detection_signal_only=0;none=2,True,False
